date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:33	30966/30966	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:04%20GMT	http://www.vasterad.com/themes/listeo_082019/index.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/index.html	(from )
23:00:33	904/904	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Feb%202020%2021:00:32%20GMT	http://www.vasterad.com/robots.txt		(from )
23:00:34	7993/7993	---MCZ	200	added ('OK')	text/css	etag:W/%22233e-58f0053636168-gzip%22	http://www.vasterad.com/themes/listeo_082019/css/main-color.css	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/css/main-color.css	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:35	294770/294770	---MCZ	200	added ('OK')	text/css	etag:W/%225add6-59462871aea39-gzip%22	http://www.vasterad.com/themes/listeo_082019/css/style.css	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/css/style.css	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:35	3665/3665	---M--	200	added ('OK')	image/png	etag:%22182c-58f00555728dc%22	http://www.vasterad.com/themes/listeo_082019/images/logo2.png	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/images/logo2.png	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:35	27658/27658	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:05%20GMT	http://www.vasterad.com/themes/listeo_082019/index-2-airbnb.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/index-2-airbnb.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:36	27345/27345	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:05%20GMT	http://www.vasterad.com/themes/listeo_082019/index-3.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/index-3.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:36	28753/28753	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:05%20GMT	http://www.vasterad.com/themes/listeo_082019/index-4.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/index-4.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:37	32241/32241	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:06%20GMT	http://www.vasterad.com/themes/listeo_082019/index-6.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/index-6.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:37	23987/23987	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:06%20GMT	http://www.vasterad.com/themes/listeo_082019/index-5.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/index-5.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:37	25267/25267	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:12%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-list-with-sidebar.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-list-with-sidebar.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:38	25276/25276	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:11%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-list-full-width.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-list-full-width.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:38	25490/25490	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:12%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-list-full-width-with-map.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-list-full-width-with-map.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:39	24181/24181	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:08%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-grid-with-sidebar-1.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-grid-with-sidebar-1.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:39	23649/23649	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:08%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-grid-with-sidebar-2.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-grid-with-sidebar-2.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:40	23654/23654	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:07%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-grid-full-width.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-grid-full-width.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:40	23865/23865	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:07%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-grid-full-width-with-map.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-grid-full-width-with-map.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:41	23346/23346	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:10%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-half-screen-map-list.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-half-screen-map-list.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:41	22279/22279	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:09%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-half-screen-map-grid-1.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-half-screen-map-grid-1.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:41	21824/21824	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:09%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-half-screen-map-grid-2.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-half-screen-map-grid-2.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:42	41917/41917	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202019%2010:10:53%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-single-page.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-single-page.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:42	35838/35838	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:13%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-single-page-2.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-single-page-2.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:43	38796/38796	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:14%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-single-page-3.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-single-page-3.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:43	22920/22920	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:11%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-half-screen-map-list-OpenStreetMap.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-half-screen-map-list-OpenStreetMap.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:43	21855/21855	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:09%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-half-screen-map-grid-1-OpenStreetMap.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-half-screen-map-grid-1-OpenStreetMap.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:44	21310/21310	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:10%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-half-screen-map-grid-2-OpenStreetMap.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-half-screen-map-grid-2-OpenStreetMap.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
23:00:44	24957/24957	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:12%20GMT	http://www.vasterad.com/themes/listeo_082019/listings-list-full-width-with-map-OpenStreetMap.html	E:/Graduation%20Project/theme/www.vasterad.com/themes/listeo_082019/listings-list-full-width-with-map-OpenStreetMap.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
